,SRMSE 1,SRMSE 2,SRMSE 3,SRMSE 4,MACD_C,Diversity,Runtime
IPU,0.0019,0.0184,0.0591,0.1568,0.025,0.0,899.8664
SBIPF-GB,0.0495,0.1262,0.2611,0.5174,0.027,0.0,19.5223
NBIPF-GB,0.4011,0.9786,1.9822,3.8022,0.05,0.0,7.9799
SBIPF-RP,0.0323,0.087,0.1879,0.3876,0.027,0.0,15.9046
NBIPF-RP,0.539,1.3298,2.6712,5.0678,0.064,0.0,4.7878
BN,0.4179,1.1003,2.5412,5.6438,0.135,0.9461,20.1326
BN Copula,0.0038,0.3046,1.1478,3.2345,0.124,0.9998,168.6598
IPU BN,0.0056,0.067,0.244,0.7026,0.142,0.9771,948.8768
SBIPF-GB BN,0.0491,0.1601,0.43,1.0672,0.154,0.9778,68.7741
NBIPF-GB BN,0.4009,1.1035,2.6183,5.9542,0.145,0.961,58.4966
SBIPF-RP BN,0.0339,0.1323,0.3785,0.9749,0.145,0.9756,65.1314
NBIPF-RP BN,0.5378,1.5424,3.6426,8.0849,0.156,0.9579,51.9591
